top_n,top_k_hits,6m_final_percentage_return,1y_final_percentage_return,3y_final_percentage_return,5y_final_percentage_return,10y_final_percentage_return,15y_final_percentage_return,20y_final_percentage_return,6m_final_portfolio_value,1y_final_portfolio_value,3y_final_portfolio_value,5y_final_portfolio_value,10y_final_portfolio_value,15y_final_portfolio_value,20y_final_portfolio_value
5,7,0.15978383947902297,0.17151248997349566,0.6793154047546199,0.9616975444548794,2.303664649891953,4.031494686515561,3.6541618274616683,4059.24343817658,7614.831184827722,31067.33498796047,59831.77510587382,199871.71131846317,455350.2691296583,560826.500209131
6,7,0.11324367131107405,0.12540347066159407,0.5666330063891365,1.016003681101226,2.120781163273992,3.722642042859966,3.443534841853592,3896.3528495887595,7315.122559300362,28982.710618199024,61488.112273587394,188807.26037807652,427399.10487882694,535445.9484433578
4,6,0.1594988299435267,0.17558707876534063,0.731436941840351,0.7400819804701133,2.4332751247384055,4.1914775216980935,3.734307186170712,4058.245904802344,7641.3160119747145,32031.583424046494,53072.500404338454,207713.14504667354,469828.71571367746,570484.0159335708
3,4,0.18983146433161857,0.20488376246731987,0.48810556981243947,0.5825578586058173,2.674957425774166,3.5838169221933107,3.0538312113802384,4164.410125160665,7831.744456037579,27529.95304153013,48268.01468747743,222334.92425933704,414835.4314584946,488486.6609713188
2,3,0.1386446894492328,0.13901189037748352,0.38260802354846213,0.5119170901172803,2.485977416817136,2.6485801334998196,2.1726319667657346,3985.256413072315,7403.577287453643,25578.24843564655,46113.47124857705,210901.63371743672,330196.50208173366,382302.15199527104
8,2,0.08655329057191619,0.10273573193371699,0.5209630703669719,0.984422047411778,1.870417608939194,3.4262418485564927,3.5197500854481527,3802.9365170017063,7167.782257569161,28137.81680178898,60524.87244605923,173660.26534082124,400574.8872943626,544629.8852965024
7,2,0.10153590316418715,0.11255912738718865,0.49556129612632294,0.9720653440290781,1.9553047469668834,3.558424794393183,3.4074347000422005,3855.375661074655,7231.634328016726,27667.883978336973,60147.99299288688,178795.93719149646,412537.4438925831,531095.8813550852
10,2,0.06945283206018593,0.07258794019272563,0.5530354013115486,0.937149380985558,1.7462524076836226,3.1541812866692176,3.3079213708623962,3743.0849122106506,6971.821611252717,28731.15492426365,59083.05612005952,166148.27066485916,375953.4064435642,519104.52518891875
9,1,0.07588241715521593,0.0994638311450875,0.5127009493989074,0.934889629500492,1.8102478726945574,3.2941242759684837,3.453659188505524,3765.588460043256,7146.514902443068,27984.967563879785,59014.13369976501,170019.99629802073,388618.2469751478,536665.9322149156
11,1,0.06189872191245005,0.06635715603275005,0.5651943550166911,0.895308272793423,1.6706265791076502,3.053099368582057,3.2452764830447407,3716.645526693575,6931.321514212875,28956.095567808785,57806.9023201994,161572.90803601284,366805.4928566761,511555.8162068912
12,0,0.06192182181179251,0.06559545185844406,0.5238880775561117,0.8353748530581955,1.5733567835014455,2.8744504520748317,3.0640589363141757,3716.726376341274,6926.370437079886,28191.929434788064,55978.93301827496,155688.08540183745,350637.7659127723,489719.1018258582
13,0,0.0648071989908301,0.066443354607435,0.49586087586864935,0.7926082643827164,1.5019644522747777,2.7443020491331445,2.950009370549253,3726.8251964679057,6931.881804948327,27673.426203570012,54674.55206367285,151368.84936262405,338859.3354465496,475976.129151185
14,0,0.06193874061803184,0.06697880644147514,0.47711656155770665,0.7551894198080442,1.4380038893990679,2.6387261886055318,2.8838629813395236,3716.7855921631117,6935.362241869589,27326.656388817573,53533.27730414535,147499.2353086436,329304.7200688006,468005.48925141257
15,0,0.06002315986830298,0.05927733794594303,0.4598542427627106,0.720582458211998,1.3725350173333073,2.5600876923587808,2.8528608889858837,3710.081059539061,6885.3026966486295,27007.303491110146,52477.764975465936,143538.36854866508,322187.93615846965,464269.737122799
16,0,0.06171743901845472,0.0631055600856627,0.437726008480092,0.680934779921569,1.3486071188852375,2.5058526083794113,2.8158703814555377,3716.0110365645914,6910.186140556807,26597.931156881703,51268.510787607855,142090.73069255688,317279.66105833673,459812.3809653923
17,0,0.058391115994207876,0.06021116467158927,0.42223013734373427,0.6528540561416201,1.3073655178908736,2.4293506036678223,2.7675386210248503,3704.3689059797275,6891.37257036533,26311.257540859086,50412.04871231941,139595.61383239785,310356.2296319379,453988.40383349446
18,0,0.05512265284675388,0.056116216056274926,0.41262977585859173,0.6289459917454021,1.2654839002987535,2.358045495394967,2.735988540360862,3692.9292849636386,6864.7554043657865,26133.650853383948,49682.85274823476,137061.7759680746,303903.11733324453,450186.6191134839
19,0,0.05199373033334198,0.051149157531679146,0.3916070017805202,0.6077289347321169,1.2402936350792007,2.3054103921953506,2.6979683289026415,3681.978056166697,6832.469523955915,25744.729532939626,49035.732509329566,135537.76492229165,299139.6404936792,445605.1836327683
20,0,0.05190911677358678,0.056312908889269764,0.38129520873378087,0.5904151131680657,1.2095743968141606,2.2443203341711206,2.6696602555383135,3681.6819087075537,6866.033907780253,25553.961361574944,48507.66095162601,133679.2510072567,293610.9902424864,442194.0607923668
1,0,0.05452912664208953,0.019560585465991265,0.24255055758309352,0.39133777956340454,2.0902876965346207,1.4371421220472178,0.902118265514616,3690.851943247313,6627.143805528943,22987.18531528723,42435.80227668384,186962.40564034454,220561.3620452732,229205.25099451124
