Ticker,Company,Sector,Industry,Country,Market Cap,Volume
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,298.12M,1
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,67.45M,"254,981"
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,321.12M,3
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,20
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7.28B,"24,043,012"
AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,-,"3,573"
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,46.10M,"8,763"
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1.21B,"1,847,114"
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,6.53B,"452,263"
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,"606,498"
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,"1,012,879"
AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,3.43B,"7,574"
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3043.17B,"39,390,047"
AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,"6,282,758"
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,258.18M,"6,679"
AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,-,5
AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,-,12
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,"107,204"
ABAT,American Battery Technology Company,Industrials,Waste Management,USA,211.42M,"2,876,595"
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1.30B,"2,638,849"
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,-,"1,748"
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,325.90M,"186,428"
ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,-,215
ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,506.46M,"133,878"
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,49.64M,"1,820"
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,80.43B,"1,379,736"
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,83.56M,"21,446"
ABP,Abpro Holdings Inc,Healthcare,Biotechnology,USA,14.53M,"2,493,840"
ABSI,Absci Corp,Healthcare,Biotechnology,USA,407.20M,"2,478,575"
ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,8.89M,"3,403"
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,635.87M,"179,836"
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,44.84M,"173,762"
ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,86.55M,"790,367"
ABVX,Abivax ADR,Healthcare,Biotechnology,France,5.35B,"466,855"
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3.91B,"752,579"
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,244.13M,"256,273"
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.04B,"97,333"
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,57.05M,"137,726"
ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,64.07M,"21,118"
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,32.52B,"722,563"
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,1.93B,"362,218"
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,124.96M,"171,277"
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,492.95M,"37,785"
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,208.77M,"32,092"
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,4.30B,"194,431"
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2.15B,"144,879"
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,3.90B,"67,036"
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,1.87B,"406,273"
ACNB,ACNB Corp,Financial,Banks - Regional,USA,431.80M,"3,798"
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,132.21M,"5,593"
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,Canada,146.77M,"11,078"
ACON,Aclarion Inc,Healthcare,Health Information Services,USA,3.88M,"23,680"
ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,166.21M,"511,184"
ACRV,Acrivon Therapeutics Inc,Healthcare,Biotechnology,USA,39.11M,"63,600"
ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA,5.28B,"126,594"
ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,USA,328.43M,"62,721"
ACTU,Actuate Therapeutics Inc,Healthcare,Biotechnology,USA,143.70M,"8,519"
ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,"2,851,494"
ACWX,iShares MSCI ACWI ex US ETF,Financial,Exchange Traded Fund,USA,-,"669,213"
ACXP,Acurx Pharmaceuticals Inc,Healthcare,Biotechnology,USA,9.57M,"333,581"
ADAG,Adagene Inc ADR,Healthcare,Biotechnology,China,89.98M,"5,763"
ADAP,Adaptimmune Therapeutics Plc ADR,Healthcare,Biotechnology,United Kingdom,21.97M,"68,629,410"
ADBE,Adobe Inc,Technology,Software - Application,USA,149.33B,"1,242,152"
ADBG,Leverage Shares 2X Long ADBE Daily ETF,Financial,Exchange Traded Fund,USA,-,"29,411"
ADD,Color Star Technology Co Ltd,Communication Services,Entertainment,USA,21.52M,"15,656"
ADEA,Adeia Inc,Technology,Software - Application,USA,1.34B,"112,485"
ADGM,Adagio Medical Holdings Inc,Healthcare,Medical Devices,USA,19.38M,"1,318"
ADI,Analog Devices Inc,Technology,Semiconductors,USA,109.25B,"776,236"
ADIL,Adial Pharmaceuticals Inc,Healthcare,Biotechnology,USA,7.34M,"1,044,470"
ADMA,Adma Biologics Inc,Healthcare,Biotechnology,USA,4.49B,"669,414"
ADN,Advent Technologies Holdings Inc,Industrials,Electrical Equipment & Parts,USA,4.78M,"9,442"
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,122.41B,"546,467"
ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology,USA,1.54B,"342,744"
ADSE,Ads-Tec Energy Plc,Industrials,Electrical Equipment & Parts,Ireland,685.51M,"3,999"
ADSK,Autodesk Inc,Technology,Software - Application,USA,63.84B,"409,580"
ADTN,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,717.09M,"286,473"
ADTX,Aditxt Inc,Healthcare,Biotechnology,USA,2.48M,"116,838"
ADUR,Aduro Clean Technologies Inc,Industrials,Pollution & Treatment Controls,Canada,299.93M,"134,843"
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.94B,"29,190"
