Ticker,Company,Sector,Industry,Country,Market Cap,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32.14B,"682,198"
AA,Alcoa Corp,Basic Materials,Aluminum,USA,7.44B,"3,594,093"
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,"6,048"
AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,705.51M,"209,977"
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,459.97M,"2,413"
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1.43B,"130,407"
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3.13B,"542,592"
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.15B,"184,231"
AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,1.50B,"25,397"
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4.51B,"67,057"
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,344.30B,"3,252,754"
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,4.56B,"179,348"
ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,864
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,34.27B,"16,153,660"
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4.39B,"107,033"
ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2.84B,"199,060"
ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,"12,062"
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2.15B,"3,413,027"
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,221.94B,"2,111,099"
AC,Associated Capital Group Inc,Financial,Asset Management,USA,776.38M,252
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,4.08B,"95,279"
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,315.35M,"831,228"
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,1.06B,"98,442"
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,"9,729"
ACGR,American Century Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,17
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,6.21B,"17,407,326"
